,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,304780.0,KGUC-XXX-GUNNISON-CRESTED BUTTE RGNL-USA,7.0,No,,Released,Complete,Amendment,Chetan Patel,Production Support,8.0,AMD,False,C,No,True,Complete,Chetan Dixit (cdixit),,,,
1,317590.0,OAIX-OAI-BAGRAM-AFGHANISTAN[2],,Yes,"Aug 16, 2017 7:00:00 PM",1st Analysis,Complete,Amendment,Ross Langley,,,UK,False,,No,True,Complete,Chetan Dixit (cdixit),,,,
2,358185.0,HCMF-BSA-BOSSASO-SOMALIA,7.0,No,,Released,Complete,Amendment,Bhargav Ashara,Production Support,1.0,AMD,False,C,No,False,,,,,,
3,372444.0,WSAP-QPG-PAYA LEBAR-SINGAPORE,3.0,No,,Released,Complete,Amendment,Jaimin Thakkar,Production Support,18.0,AMD,False,B,No,False,,,,,,
4,383390.0,RCNN-TNN-TAINAN AIRPORT-TAIWAN,7.0,No,,Released,Complete,Amendment,Jaimin Thakkar,Production Support,16.0,AMD,False,B,No,False,,,,,,
5,385404.0,EDDH-HAM-HAMBURG-GERMANY,,No,,New,,Full Review,Chintan Suthar,,,AMD,,A,No,True,,,,,,
6,385415.0,HEBA-HBE-ALEXANDRIA/BORG EL ARAB-EGYPT,,No,,New,,Amendment,Ross Langley,,,UK,False,A,No,False,,,,,,
7,385897.0,VMMC-MFM-MACAU-MACAU,47.0,No,,Released,Complete,Amendment,Ross Langley,Production Support,84.0,UK,False,A,No,True,Complete,Chetan Dixit (cdixit),,,,
8,386709.0,WBKK-BKI-KOTA KINABALU-MALAYSIA,47.0,No,,Released,Complete,Amendment,Ross Langley,Production Support,20.0,UK,False,A,No,True,Complete,Chetan Dixit (cdixit),,,,
9,392009.0,EGLL-LHR-LONDON/HEATHROW-UNITED KINGDOM,,No,,New,,Amendment,Keith Nisbet,,,UK,,,No,False,,,,,,
10,393789.0,RKSS-SEL-SEOUL GIMPO-KOREA,49.0,Yes,"Dec 6, 2017 11:00:00 AM",Released,Complete,Amendment,Jaimin Thakkar,Production Support,42.0,AMD,False,B,No,True,Complete,Chetan Dixit (cdixit),,,,
11,395946.0,GCLP-LPA-GRAN CANARIA-SPAIN,,No,,New,,Full Review,Keith Nisbet,,,UK,False,A,No,False,,,,,,
12,395974.0,LEVD-VLL-VALLADOLID-SPAIN,47.0,No,,Released,Complete,Full Review,Keith Nisbet,Production Support,19.0,UK,False,A,No,False,,,,,,
13,396763.0,FMEE-RUN-SAINT DENIS GILLOT-REUNION,7.0,No,,Released,Complete,Amendment,Bhargav Ashara,Production Support,19.0,AMD,False,C,No,False,,,,,,
14,397667.0,LEPA-PMI-PALMA DE MALLORCA-SPAIN,,No,,New,,Full Review,Keith Nisbet,,,UK,False,A,No,False,,,,,,
15,402329.0,VMMC-MFM-MACAU-MACAU,,Yes,"Jun 21, 2017 11:00:00 AM",2nd Analysis,Paused,Amendment,Ross Langley,,,UK,False,B,No,False,,,,,,
16,402479.0,WAOO-BDJ-SYAMSUDIN NOOR-INDONESIA,47.0,No,"Sep 26, 2017 6:59:00 PM",Released,Complete,Amendment,Ross Langley,Production Support,0.0,UK,False,B,No,False,,,,,,
17,402938.0,LFBZ-BIQ-BIARRITZ (PAYS BASQUE)-FRANCE,5.0,Yes,"Jan 31, 2018 7:00:00 PM",Released,Complete,Amendment,Keith Nisbet,Production Support,20.0,UK,True,D,No,True,Complete,Chetan Dixit (cdixit),,,,
18,406334.0,LFMK-CCF-CARCASSONNE-FRANCE,51.0,No,,Released,Complete,Amendment,Keith Nisbet,Production Support,1.0,UK,False,A,PDFs Only,False,,,,,,
19,406695.0,MMPR-PVR-PUERTO VALLARTA-MEXICO,47.0,No,,Released,Complete,Full Review,Kuldeep Kenjale,Production Support,31.0,AMD,False,B,No,True,Complete,Chetan Dixit (cdixit),,,,
20,406968.0,PAJN-JNU-JUNEAU INTL-ALASKA,7.0,No,,Released,Complete,Amendment,Kuldeep Kenjale,Production Support,10.0,AMD,False,C,No,True,Complete,Chetan Dixit (cdixit),,,,
21,407297.0,EGHC-LEQ-LANDS END-UNITED KINGDOM,11.0,No,,New,,Amendment,Keith Nisbet,,,UK,False,C,No,False,,,,,,
22,407516.0,KUNV-SCE-UNIVERSITY PARK/STATE COLLEGE-USA,1.0,No,,Released,Complete,Amendment,Julie Bailey,Production Support,4.0,UK,False,C,No,False,,,,,,
23,408088.0,VIDP-DEL-DELHI-INDIA,49.0,Yes,"Dec 6, 2017 7:00:00 PM",Released,Complete,Amendment,Bhargav Ashara,Production Support,55.0,AMD,False,A,No,False,,,,,,
24,408746.0,ZWSH-KHG-KASHI-CHINA,49.0,Yes,"Dec 6, 2017 11:00:00 AM",Released,Complete,Amendment,Ross Langley,Production Support,12.0,UK,False,B,No,True,Complete,Chetan Dixit (cdixit),,,,
25,408983.0,VASU-STV-SURAT-INDIA,,No,,1st Analysis,Complete,Amendment,Bhargav Ashara,Nauka Patel (nspatel),4.0,AMD,False,B,No,True,,,,,,
26,409843.0,OEWJ-EJH-WEJH-SAUDI ARABIA,51.0,No,,Released,Complete,Amendment,Bhargav Ashara,Production Support,2.0,AMD,False,C,No,False,,,,,,
27,410572.0,WASS-SOQ-DOMINE EDUARD OSOK SORONG-INDONESIA,,No,,New,,Amendment,Ross Langley,,,UK,,,No,False,,,,,,
28,411198.0,RKSI-ICN-SEOUL INCHEON-KOREA,47.0,No,"Nov 20, 2017 11:00:00 AM",Released,Complete,Amendment,Ross Langley,Production Support,18.0,UK,False,A,No,True,Complete,,,,,
29,411266.0,KMTJ-XXX-MONTROSE RGNL-USA,,No,,New,,Full Review,Kuldeep Kenjale,,,AMD,,,No,True,,,,,,
30,411445.0,ZBDH-BPEQINHUANGDAO/BEIDAIHE-CHINA,51.0,No,"Oct 30, 2017 8:00:00 PM",Released,Complete,Amendment,Ross Langley,Production Support,5.0,UK,False,B,No,False,,,,,,
31,411449.0,ZBDT-DAT-DATONG/YUNGANG-CHINA,47.0,No,"Oct 30, 2017 8:00:00 PM",Released,Complete,Amendment,Ross Langley,Production Support,14.0,UK,False,A,No,False,,,,,,
