Chart: ,Front: ,Back: ,No. of Insets,Inset 1: ,Inset 2: ,Inset 3: ,Inset 4: ,Panels: ,Type: ,Check?: 
AF (H/L) 1,W,E,2,Cape Verde Extension,Gulf of Guinea Inset,,,10,Basic,TRUE
AF (H/L) 2,W,E,2,Kigali Inset,Yemen Inset,,,8,Basic,FALSE
AF (H/L) 3,,AF (H/L) 3,1,South Africa Inset,,,,6,Basic,TRUE
AF (H/L) 4,E,W,0,,,,,6,Basic,TRUE
AS (H/L) 1,W,E,0,,,,,8,Basic,TRUE
AS (H/L) 2,W,E,1,Novosibirsk Inset,,,,10,Basic,FALSE
AS (H/L) 3,W,E,4,Beijing Inset,Dalian Inset,Shanghai Inset,Tashkent Inset,10,Basic,TRUE
AS (H/L) 4,S,N,0,,,,,7,Basic,TRUE
AS (H/L) 5,W,E,1,Islamabad Inset,,,,10,Basic,FALSE
AS (H/L) 6,W,E,2,Hong Kong Inset,Manila Inset,,,8,Basic,TRUE
AS (H/L) 7,W,E,0,,,,,8,Basic,TRUE
AS (H/L) 8,W,E,0,,,,,7,Basic,
AS (H/L) 9,E,W,1,Malaysia/Singapore Inset,,,,8,Basic,TRUE
AS (H/L) 10,W,E,2,Bahrain Inset,Muscat-UAE Inset,,,9,Basic,FALSE
AS (H/L) 11,N,S,1,Maldives Inset,,,,7,Basic,TRUE
AT (H) 1,N,S,2,Azores Inset,Iceland Inset,,,7,Basic,TRUE
AT (H/L) 2,S,N,0,,,,,7,Basic,
AT (H) 3,,AT (H) 3,0,,,,,6,Basic,
AUS (H/L) 1,E,W,1,Nadi Inset,,,,9,Basic,TRUE
AUS (H/L) 2,S,N,0,,,,,8,Basic,FALSE
AUS (H/L) 3,N,S,1,Perth Inset,,,,9,Basic,TRUE
AUS (H/L) 4,W,E,2,Adelaide Inset,Melbourne Inset,,,9,Basic,TRUE
AUS (H/L) 5,N,S,0,,,,,5,Basic,
CAM (H/L) 1,S,N,0,,,,,7,Basic,TRUE
